,PC6,M_INKHH
646,1013TK,1
647,1013TL,10
648,1013TM,9
649,1013TN,9
650,1013VB,4
651,1013VH,2
652,1013VL,2
653,1013VM,4
654,1013VN,7
655,1013VP,5
656,1013VR,5
657,1013VS,8
658,1013VT,3
659,1013VV,4
660,1013VX,8
661,1013VZ,7
662,1013WB,8
663,1013WC,2
664,1013WD,5
665,1013WG,7
666,1013WH,8
667,1013WJ,9
668,1013WN,5
669,1013WP,2
670,1013WR,5
671,1013WS,2
672,1013WT,2
673,1013WV,7
674,1013XA,2
675,1013XB,5
676,1013XC,2
677,1013XD,4
678,1013XE,5
679,1013XG,8
680,1013XP,9
681,1013XR,4
682,1013XT,5
683,1013XV,5
684,1013XW,4
685,1013XX,4
686,1013XZ,5
687,1013ZA,2
688,1013ZB,2
689,1013ZC,2
690,1013ZD,2
691,1013ZE,7
692,1013ZG,8
693,1013ZH,5
694,1013ZJ,2
695,1013ZK,5
696,1013ZL,2
697,1013ZM,8
698,1013ZN,8
699,1013ZP,8
700,1013ZR,2
701,1013ZS,10
702,1013ZT,9
703,1013ZV,2
704,1013ZW,7
705,1013ZX,8
706,1014AD,5
707,1014AE,5
708,1014AG,11
709,1014AS,1
710,1014BG,10
711,1015AA,10
712,1015AB,9
713,1015AC,9
714,1015AD,11
715,1015AE,11
716,1015AG,11
717,1015AH,8
718,1015AJ,10
719,1015AK,5
720,1015AL,9
721,1015AM,8
722,1015AN,8
723,1015AP,5
724,1015AT,8
725,1015AV,5
726,1015AW,5
727,1015BA,7
728,1015BB,9
729,1015BC,5
730,1015BD,9
731,1015BE,10
732,1015BG,11
733,1015BH,10
734,1015BK,11
735,1015BL,2
736,1015BM,8
737,1015BN,11
738,1015BP,8
739,1015BR,10
740,1015BS,11
741,1015BT,11
742,1015BW,2
743,1015BX,2
744,1015BZ,5
745,1015CA,9
746,1015CB,2
747,1015CC,11
748,1015CD,11
749,1015CE,11
750,1015CG,8
751,1015CH,4
752,1015CJ,11
753,1015CK,9
754,1015CL,11
755,1015CN,11
756,1015CP,11
757,1015CR,11
758,1015CS,11
759,1015CT,9
760,1015CV,11
761,1015CW,11
762,1015CX,11
763,1015CZ,8
764,1015DB,8
765,1015DC,11
766,1015DD,2
767,1015DG,5
768,1015DH,11
769,1015DJ,10
770,1015DK,11
771,1015DL,11
772,1015DM,8
773,1015DN,8
774,1015DP,5
775,1015DR,4
776,1015DS,9
777,1015DT,4
778,1015DV,10
779,1015DW,7
780,1015DX,7
781,1015DZ,11
782,1015EA,9
783,1015EB,9
784,1015GA,11
785,1015GB,11
786,1015GC,11
787,1015GD,10
788,1015GE,9
789,1015GG,5
790,1015GH,8
791,1015GJ,9
792,1015GK,11
793,1015GL,7
794,1015GM,9
795,1015GN,8
796,1015GP,4
797,1015GR,9
798,1015GS,10
799,1015GV,5
800,1015GW,8
801,1015GX,2
802,1015GZ,8
803,1015HB,8
804,1015HC,7
805,1015HD,5
806,1015HE,8
807,1015HG,2
808,1015HJ,7
809,1015HK,8
810,1015HL,10
811,1015HM,7
812,1015HN,5
813,1015HP,7
814,1015HR,2
815,1015HS,5
816,1015HT,1
817,1015HV,4
818,1015HW,8
819,1015HX,1
820,1015HZ,2
821,1015JA,2
822,1015JB,2
823,1015JC,5
824,1015JD,5
825,1015JE,4
826,1015JG,2
827,1015JJ,8
828,1015JK,4
829,1015JL,4
830,1015JM,5
831,1015JN,2
832,1015JP,7
833,1015JR,8
834,1015JS,5
835,1015JT,4
836,1015JV,8
837,1015JW,1
838,1015JX,5
839,1015JZ,8
840,1015KA,5
841,1015KB,10
842,1015KC,5
843,1015KD,5
844,1015KE,4
845,1015KG,8
846,1015KH,7
847,1015KJ,7
848,1015KK,7
849,1015KL,9
850,1015KM,5
851,1015KN,7
852,1015KP,9
853,1015KR,8
854,1015KS,8
855,1015KT,7
856,1015KV,5
857,1015KW,8
858,1015KX,2
859,1015KZ,5
860,1015LA,7
861,1015LB,8
862,1015LC,5
863,1015LD,7
864,1015LE,8
865,1015LG,2
866,1015LH,2
867,1015LJ,4
868,1015LK,10
869,1015LL,5
870,1015LM,5
871,1015LN,5
872,1015LP,5
873,1015LR,9
874,1015LS,11
875,1015LT,5
876,1015LV,1
877,1015LW,10
878,1015LX,8
879,1015LZ,7
