,PC6,M_INKHH
3918,1034WD,5
3919,1034WG,9
3920,1034WH,5
3921,1034WK,5
3922,1034WL,8
3923,1034WN,9
3924,1034WP,8
3925,1034WR,11
3926,1034WS,8
3927,1034WT,9
3928,1034WV,10
3929,1034WX,10
3930,1034XC,9
3931,1034XD,10
3932,1034XE,11
3933,1034XG,8
3934,1034XH,2
3935,1034XJ,1
3936,1034XK,2
3937,1034XL,2
3938,1034XM,2
3939,1034XN,2
3940,1034XP,2
3941,1034XS,5
3942,1034XT,2
3943,1034XV,2
3944,1034XW,2
3945,1034ZA,8
3946,1034ZB,8
3947,1034ZC,8
3948,1034ZE,9
3949,1034ZG,11
3950,1034ZH,10
3951,1034ZJ,9
3952,1034ZM,8
3953,1035AA,4
3954,1035AB,2
3955,1035AC,2
3956,1035AD,2
3957,1035AE,2
3958,1035AG,4
3959,1035AH,2
3960,1035AJ,1
3961,1035AK,5
3962,1035AL,5
3963,1035AM,5
3964,1035AN,5
3965,1035AP,4
3966,1035AR,2
3967,1035AS,5
3968,1035AT,2
3969,1035AV,5
3970,1035AW,5
3971,1035AX,2
3972,1035AZ,5
3973,1035BA,5
3974,1035BB,5
3975,1035BC,5
3976,1035BD,5
3977,1035BE,5
3978,1035BG,4
3979,1035BH,5
3980,1035BJ,8
3981,1035BK,2
3982,1035BL,2
3983,1035BM,2
3984,1035BN,2
3985,1035BP,2
3986,1035BR,4
3987,1035BS,2
3988,1035BT,2
3989,1035BV,2
3990,1035BW,5
3991,1035CA,4
3992,1035CB,2
3993,1035CC,5
3994,1035CD,4
3995,1035CE,2
3996,1035CG,2
3997,1035CH,5
3998,1035CJ,5
3999,1035CK,5
4000,1035CL,5
4001,1035CM,7
4002,1035CN,8
4003,1035CP,5
4004,1035CR,5
4005,1035CS,5
4006,1035CT,8
4007,1035CV,7
4008,1035CW,7
4009,1035CX,5
4010,1035CZ,5
4011,1035EA,4
4012,1035EB,5
4013,1035EC,7
4014,1035ED,5
4015,1035EK,2
4016,1035EL,2
4017,1035EM,2
4018,1035EN,2
4019,1035EP,2
4020,1035ER,2
4021,1035ES,2
4022,1035ET,2
4023,1035HC,5
4024,1035HD,5
4025,1035HE,5
4026,1035HG,10
4027,1035HH,5
4028,1035HJ,8
4029,1035HK,7
4030,1035HL,7
4031,1035HM,7
4032,1035HN,8
4033,1035HP,9
4034,1035HR,9
4035,1035HS,8
4036,1035HT,8
4037,1035HV,10
4038,1035HX,7
4039,1035HZ,5
4040,1035JA,8
4041,1035JB,10
4042,1035JC,8
4043,1035JD,8
4044,1035JE,7
4045,1035JN,9
4046,1035JP,10
4047,1035JR,10
4048,1035JS,9
4049,1035JV,5
4050,1035JW,7
4051,1035JX,9
4052,1035JZ,9
4053,1035KA,10
4054,1035KB,9
4055,1035KC,10
4056,1035KE,9
4057,1035KG,9
4058,1035KH,5
4059,1035KJ,5
4060,1035KK,5
4061,1035KL,5
4062,1035KM,7
4063,1035KN,9
4064,1035KP,7
4065,1035KR,8
4066,1035KS,11
4067,1035KV,10
4068,1035KX,8
4069,1035LA,9
4070,1035LB,9
4071,1035LC,10
4072,1035LD,10
4073,1035MA,11
4074,1035NC,8
4075,1035ND,11
4076,1035NE,10
4077,1035NH,11
4078,1035NL,8
4079,1035NN,8
4080,1035NP,10
4081,1035NR,5
4082,1035NS,11
4083,1035NT,10
4084,1035NV,9
4085,1035NX,8
4086,1035PC,8
4087,1035PD,8
4088,1035PE,10
4089,1035PG,9
4090,1035PH,10
4091,1035PJ,8
4092,1035PM,8
4093,1035PN,8
4094,1035PP,11
4095,1035PR,8
4096,1035PS,10
4097,1035PT,5
4098,1035PV,11
4099,1035PW,7
4100,1035PX,9
4101,1035RA,8
4102,1035RD,10
4103,1035RE,8
4104,1035RG,8
4105,1035RH,10
4106,1035RJ,8
4107,1035RL,9
4108,1035SB,8
4109,1035SC,4
4110,1035SE,8
4111,1035SG,10
4112,1035SH,8
4113,1035SJ,9
4114,1035SK,9
4115,1035SL,2
4116,1035SM,2
4117,1035SN,2
4118,1035SR,9
4119,1035ST,8
4120,1035SV,5
4121,1035SW,8
4122,1035SX,8
4123,1035SZ,10
4124,1035TE,8
4125,1035TG,5
4126,1035TH,5
4127,1035TJ,8
4128,1035TL,5
4129,1035TM,5
4130,1035TN,3
4131,1035TP,8
4132,1035TS,9
4133,1035TT,11
4134,1035TV,11
4135,1035TW,11
4136,1035TX,9
4137,1035TZ,11
4138,1035VD,10
4139,1035VG,8
4140,1035VH,5
4141,1035VK,5
4142,1035VL,8
4143,1035VN,2
4144,1035VR,8
4145,1035VT,5
4146,1035VV,8
4147,1035VW,8
4148,1035VX,5
4149,1035VZ,5
4150,1035XA,2
4151,1035XB,2
4152,1035XC,5
4153,1035XD,7
4154,1035XE,5
4155,1035XG,2
4156,1035XH,2
4157,1035XJ,9
4158,1035XK,8
4159,1035XM,8
4160,1035XN,8
4161,1035XP,5
4162,1035XR,2
4163,1035XS,8
4164,1035XV,9
4165,1035XW,5
4166,1035XX,8
4167,1035XZ,5
4168,1036KC,7
4169,1036KD,8
4170,1036KE,8
4171,1036KG,9
4172,1036KH,8
4173,1036KJ,8
4174,1036KK,7
4175,1036KL,9
4176,1036KM,7
4177,1036KN,7
4178,1036KP,8
4179,1036KR,9
4180,1036KS,5
4181,1036KT,9
4182,1037RP,8
4183,1037RR,9
4184,1045AR,1
4185,1051AA,8
4186,1051AB,8
4187,1051AC,5
4188,1051AK,11
4189,1051AL,2
4190,1051AM,5
4191,1051AN,5
4192,1051AP,5
4193,1051AS,8
4194,1051AT,7
4195,1051AW,2
4196,1051AX,4
4197,1051AZ,2
4198,1051BA,2
4199,1051BB,2
4200,1051BC,2
4201,1051BJ,5
4202,1051BK,2
4203,1051BL,5
4204,1051BM,9
4205,1051BN,7
4206,1051BP,2
4207,1051BR,5
4208,1051BS,9
4209,1051BT,8
4210,1051BV,8
4211,1051BW,8
4212,1051BX,4
4213,1051BZ,4
4214,1051CA,7
4215,1051CB,2
4216,1051CC,5
4217,1051CD,5
4218,1051CE,10
4219,1051CJ,5
4220,1051CK,2
4221,1051CL,2
4222,1051CM,5
4223,1051CN,8
4224,1051CP,8
4225,1051CR,7
4226,1051CS,7
4227,1051CT,2
4228,1051CV,2
4229,1051CW,9
4230,1051CX,5
4231,1051CZ,5
4232,1051DA,5
4233,1051EA,5
4234,1051EB,7
4235,1051EC,2
4236,1051ED,8
4237,1051EE,5
4238,1051EG,4
4239,1051EH,5
4240,1051EJ,5
4241,1051EK,5
4242,1051EL,10
4243,1051EM,2
4244,1051EN,8
4245,1051EP,7
4246,1051ER,8
4247,1051ES,9
4248,1051ET,4
4249,1051EV,9
4250,1051EW,5
4251,1051EX,2
4252,1051EZ,8
4253,1051GA,5
4254,1051GB,2
4255,1051GC,8
4256,1051GD,7
4257,1051GE,7
4258,1051GG,1
4259,1051GH,8
4260,1051GJ,8
4261,1051GK,7
4262,1051GL,5
4263,1051GM,9
4264,1051GN,5
4265,1051GP,8
4266,1051GR,5
4267,1051GS,4
4268,1051GT,7
4269,1051GV,5
4270,1051GW,9
4271,1051GX,5
4272,1051GZ,2
4273,1051HA,9
4274,1051HB,5
4275,1051HC,5
4276,1051HD,2
4277,1051HE,2
4278,1051HG,5
4279,1051HH,2
4280,1051HJ,2
4281,1051HK,2
4282,1051HL,2
4283,1051HM,5
4284,1051HN,4
4285,1051HP,2
4286,1051HR,7
4287,1051HS,4
4288,1051HV,8
4289,1051HW,5
4290,1051HX,4
4291,1051HZ,8
4292,1051JB,7
4293,1051JC,5
4294,1051JD,4
4295,1051JE,11
4296,1051JG,5
4297,1051JH,5
4298,1051JJ,5
4299,1051JK,8
4300,1051JN,8
4301,1051JP,11
4302,1051JR,9
4303,1051JS,8
4304,1051JT,7
4305,1051JW,8
4306,1051JX,10
4307,1051JZ,8
4308,1051KA,9
4309,1051KB,8
4310,1051KC,5
4311,1051KD,8
4312,1051KE,9
4313,1051KG,9
4314,1051KH,5
4315,1051KJ,10
4316,1051KN,7
4317,1051KP,8
4318,1051KR,5
4319,1051KS,2
4320,1051KT,2
4321,1051KV,5
4322,1051KW,5
4323,1051KX,5
4324,1051KZ,8
4325,1051LA,9
4326,1051LB,8
4327,1051LC,9
4328,1051LD,9
4329,1051LE,2
4330,1051LG,9
4331,1051LK,8
4332,1051LL,2
4333,1051LN,5
4334,1051LP,2
4335,1051LR,2
4336,1051LS,4
4337,1051LT,8
4338,1051LV,2
4339,1051LW,5
4340,1051LX,5
4341,1051LZ,5
4342,1051MA,10
4343,1051MC,9
4344,1051MD,5
4345,1051ME,11
4346,1051MG,11
4347,1051MJ,8
4348,1051MK,5
4349,1051NA,5
4350,1051NB,5
4351,1051NC,8
4352,1051ND,2
4353,1051NE,8
4354,1051NH,7
4355,1051NJ,2
4356,1051NK,5
4357,1051NL,5
4358,1051NV,9
4359,1051NW,10
4360,1051NX,9
4361,1051NZ,9
4362,1051PA,10
4363,1051PB,11
4364,1051PC,4
4365,1051PD,4
4366,1051PE,11
4367,1051PG,2
4368,1051PH,11
4369,1051PJ,11
4370,1051PK,2
4371,1051PL,5
4372,1051PM,10
4373,1051PN,5
4374,1051PP,5
4375,1051PR,7
4376,1051PS,8
4377,1051PT,4
4378,1051PV,7
4379,1051PW,5
4380,1051PX,5
4381,1051PZ,7
4382,1051RE,11
4383,1051RG,7
4384,1051RH,11
4385,1051RJ,9
4386,1051RK,11
4387,1051RL,11
4388,1051TH,4
4389,1051TJ,5
4390,1051TK,2
4391,1051TL,7
4392,1051TM,8
4393,1051TN,8
4394,1051TS,8
4395,1051TT,8
4396,1051TV,10
4397,1051TW,5
4398,1051TX,7
4399,1051TZ,2
4400,1051VA,4
4401,1051VB,7
4402,1051VC,7
4403,1051VD,7
4404,1051VE,7
4405,1051VG,2
4406,1051VH,2
4407,1051VJ,2
4408,1051VK,2
4409,1051VL,7
4410,1051VM,2
4411,1051VN,4
4412,1051VP,5
4413,1051VR,8
4414,1051VS,7
4415,1051VT,1
4416,1051VV,5
4417,1051VW,2
4418,1051VX,2
4419,1051VZ,9
4420,1051XA,8
4421,1051XC,3
4422,1051XD,8
4423,1051XE,8
4424,1051XG,5
4425,1051XH,4
4426,1051XK,2
4427,1051XL,5
4428,1051XM,5
4429,1051XN,2
4430,1051XP,8
4431,1051XR,5
4432,1051XS,4
4433,1051XT,2
4434,1051XV,5
4435,1051XW,7
4436,1051XZ,9
4437,1052AA,8
4438,1052AB,9
4439,1052AC,9
4440,1052AD,7
4441,1052AE,5
4442,1052AG,8
4443,1052AH,2
4444,1052AJ,2
4445,1052AK,2
4446,1052AL,2
4447,1052AM,2
4448,1052AP,2
4449,1052AR,2
4450,1052AS,4
4451,1052AT,2
4452,1052AV,4
4453,1052AW,2
4454,1052AX,2
4455,1052BA,2
4456,1052BB,4
4457,1052BC,7
4458,1052BD,2
4459,1052BE,7
4460,1052BG,7
4461,1052BH,9
4462,1052BJ,2
4463,1052BK,2
4464,1052BL,2
4465,1052BN,4
4466,1052BP,5
4467,1052BR,5
4468,1052BS,2
4469,1052BT,8
4470,1052BV,8
4471,1052BW,2
4472,1052BX,5
4473,1052BZ,2
4474,1052CA,5
4475,1052CB,5
4476,1052CC,2
4477,1052CE,9
4478,1052CG,11
4479,1052CH,10
4480,1052CJ,10
4481,1052CK,7
4482,1052CL,9
4483,1052CM,2
4484,1052CN,10
4485,1052CP,5
4486,1052CR,8
4487,1052CS,9
4488,1052CT,11
4489,1052CW,8
4490,1052CX,11
4491,1052CZ,8
4492,1052DA,4
4493,1052DC,7
4494,1052DD,11
4495,1052DE,5
4496,1052DG,9
4497,1052EA,10
4498,1052EB,9
4499,1052EC,5
4500,1052ED,9
4501,1052EE,9
4502,1052EG,4
4503,1052EH,9
4504,1052EJ,5
4505,1052EL,5
4506,1052EM,8
4507,1052EN,4
4508,1052EP,11
4509,1052ER,7
4510,1052ES,2
4511,1052ET,9
4512,1052EW,4
4513,1052EZ,8
4514,1052GA,5
4515,1052GB,5
4516,1052GC,5
4517,1052GD,5
4518,1052GE,2
4519,1052GG,8
4520,1052GH,5
4521,1052GJ,8
4522,1052GK,9
4523,1052GL,8
4524,1052GM,8
4525,1052GN,10
4526,1052GP,10
4527,1052GR,10
4528,1052GS,7
4529,1052GT,1
4530,1052GV,8
4531,1052GW,8
4532,1052GX,5
4533,1052HA,2
4534,1052HB,5
4535,1052HC,2
4536,1052HD,8
4537,1052HE,1
4538,1052HG,9
4539,1052HH,5
4540,1052HJ,2
4541,1052HK,5
4542,1052HL,7
4543,1052HM,7
4544,1052HN,5
4545,1052HP,5
4546,1052HS,5
4547,1052HT,5
4548,1052HV,5
4549,1052HW,2
4550,1052HX,2
4551,1052HZ,8
4552,1052JA,9
4553,1052JB,5
4554,1052JC,10
4555,1052JD,2
4556,1052JE,2
4557,1052JG,8
4558,1052JH,11
4559,1052JJ,4
4560,1052JK,5
4561,1052JL,10
4562,1052JM,9
4563,1052JN,9
4564,1052JP,9
4565,1052JR,11
4566,1052JS,4
4567,1052JT,8
4568,1052JV,8
4569,1052JW,9
4570,1052JX,9
4571,1052JZ,8
4572,1052KA,9
4573,1052KB,8
4574,1052KC,11
4575,1052KD,7
4576,1052KE,8
4577,1052KG,8
4578,1052KH,10
4579,1052KJ,8
4580,1052KK,8
4581,1052KM,8
4582,1052KN,2
4583,1052KR,2
4584,1052KT,5
4585,1052KV,8
4586,1052KW,8
4587,1052KX,1
4588,1052LA,2
4589,1052LB,9
4590,1052LD,7
4591,1052LE,9
4592,1052LG,8
4593,1052LH,5
4594,1052LK,9
4595,1052LL,10
4596,1052LM,5
4597,1052LN,8
4598,1052LP,8
4599,1052LR,8
4600,1052LT,8
4601,1052LV,9
4602,1052LW,11
4603,1052LX,9
4604,1052MA,9
4605,1052MZ,9
4606,1052NA,8
4607,1052NB,8
4608,1052NC,8
4609,1052ND,11
4610,1052NE,7
4611,1052NG,9
4612,1052NH,10
4613,1052NJ,10
4614,1052NK,5
4615,1052NL,5
4616,1052NM,4
4617,1052NN,8
4618,1052NP,5
4619,1052RH,8
4620,1052RJ,5
4621,1052RK,2
4622,1052RL,3
4623,1052RN,4
4624,1052RP,2
4625,1052RR,1
4626,1052RS,9
4627,1052RT,9
4628,1052RV,5
4629,1052RW,5
4630,1052RZ,7
4631,1052SB,10
4632,1052SC,5
4633,1052SE,8
4634,1052SG,8
4635,1052SH,9
4636,1052SJ,8
4637,1052SL,1
4638,1052SM,2
4639,1052SN,1
4640,1052SP,2
4641,1052SR,5
4642,1052ST,8
4643,1052SV,5
4644,1052SW,2
4645,1052SX,5
4646,1052TB,5
4647,1052TC,5
4648,1052TD,2
4649,1052TJ,2
4650,1052TK,1
4651,1052TL,2
4652,1052TM,5
4653,1052TN,2
4654,1052TP,5
4655,1052TR,2
4656,1052TS,5
4657,1052TT,2
4658,1052TV,2
4659,1052TW,5
4660,1052TX,8
4661,1052TZ,7
4662,1052VA,5
4663,1052VB,5
4664,1052VC,2
4665,1052VD,2
4666,1052VE,2
4667,1052VG,11
4668,1052VH,8
4669,1052VJ,5
4670,1052VK,11
4671,1052VL,10
4672,1052VM,5
4673,1052VN,5
4674,1052VP,2
4675,1052VR,2
4676,1052VS,2
4677,1052VT,2
4678,1052VV,1
4679,1052VW,2
4680,1052VX,2
4681,1052VZ,5
4682,1052WB,2
4683,1052WC,4
4684,1052WD,2
4685,1052WE,4
4686,1052WG,10
4687,1052WH,2
4688,1052WJ,10
4689,1052WK,2
4690,1052WL,4
4691,1052WP,4
4692,1052WR,5
4693,1052WS,11
4694,1052WT,5
4695,1052XA,9
4696,1052XB,5
4697,1052XC,5
4698,1052XD,2
4699,1052XE,8
4700,1052XG,5
4701,1052XH,4
4702,1052XJ,5
4703,1052XK,2
4704,1052XL,2
4705,1052XM,1
4706,1052XN,8
4707,1052XP,8
4708,1052XS,4
4709,1052XT,4
4710,1052XW,2
4711,1052XX,8
4712,1052XZ,5
4713,1053AA,7
4714,1053AB,5
4715,1053AC,8
4716,1053AD,5
4717,1053AE,2
4718,1053AG,4
4719,1053AH,2
4720,1053AK,1
4721,1053AL,2
4722,1053AM,5
4723,1053AN,4
4724,1053AP,4
4725,1053AR,7
4726,1053AS,4
4727,1053AT,5
4728,1053AV,4
4729,1053AW,8
4730,1053AX,11
4731,1053AZ,2
4732,1053BA,5
4733,1053BB,7
4734,1053BC,2
4735,1053BD,5
4736,1053BE,7
4737,1053BG,4
4738,1053BH,5
4739,1053BJ,4
4740,1053BK,2
4741,1053BL,5
4742,1053BM,8
4743,1053BN,10
4744,1053BP,8
4745,1053BR,2
4746,1053BS,4
4747,1053BT,5
4748,1053BV,8
4749,1053BW,4
4750,1053BX,9
4751,1053BZ,8
4752,1053CC,10
4753,1053CE,8
4754,1053CG,9
4755,1053CK,2
4756,1053CL,7
4757,1053CM,8
4758,1053CN,2
4759,1053CP,2
4760,1053CR,2
4761,1053CS,4
4762,1053CT,10
4763,1053CV,4
4764,1053CW,2
4765,1053CX,2
4766,1053CZ,2
4767,1053DA,4
4768,1053DB,8
4769,1053DC,7
4770,1053DD,4
4771,1053DE,8
4772,1053DG,8
4773,1053DH,9
4774,1053DL,2
4775,1053DM,2
4776,1053DP,5
4777,1053DR,4
4778,1053DS,2
4779,1053DT,8
4780,1053DV,7
4781,1053DX,2
4782,1053DZ,2
4783,1053EA,1
4784,1053EB,8
4785,1053EC,5
4786,1053ED,7
4787,1053EE,2
4788,1053EG,9
4789,1053EH,2
4790,1053EJ,2
4791,1053EL,2
4792,1053EM,10
4793,1053EN,7
4794,1053EP,4
4795,1053ER,5
4796,1053ET,4
4797,1053EV,5
4798,1053EW,5
4799,1053EX,5
4800,1053GA,8
4801,1053GB,7
4802,1053GC,5
4803,1053GD,9
4804,1053GE,2
4805,1053GG,7
4806,1053GH,8
4807,1053GJ,2
4808,1053GK,5
4809,1053GM,4
4810,1053GN,8
4811,1053GP,5
4812,1053GR,2
4813,1053GS,5
4814,1053GT,5
4815,1053GV,2
4816,1053GW,2
4817,1053GX,5
4818,1053HA,7
4819,1053HB,7
4820,1053HC,2
4821,1053HD,7
4822,1053HE,8
4823,1053HG,5
4824,1053HH,9
4825,1053HJ,8
4826,1053HK,4
4827,1053HL,8
4828,1053HM,5
4829,1053HN,2
4830,1053HP,3
4831,1053HS,2
4832,1053HT,2
4833,1053JC,8
4834,1053JD,5
4835,1053JE,8
4836,1053JG,11
4837,1053JH,8
4838,1053JJ,2
4839,1053JK,2
4840,1053JL,2
4841,1053JM,5
4842,1053JN,2
4843,1053JP,2
4844,1053JR,5
4845,1053JS,2
4846,1053KB,7
4847,1053KD,8
4848,1053KE,5
4849,1053KG,2
4850,1053KH,2
4851,1053KJ,2
4852,1053KK,5
4853,1053KL,7
4854,1053KM,8
4855,1053KN,7
4856,1053KP,4
4857,1053KR,7
4858,1053KS,7
4859,1053KT,5
4860,1053KV,5
4861,1053KW,5
4862,1053KX,8
4863,1053KZ,5
4864,1053LA,8
4865,1053LC,4
4866,1053LD,5
4867,1053LE,4
4868,1053LG,8
4869,1053LH,11
4870,1053LJ,7
4871,1053LK,5
4872,1053LL,9
4873,1053LM,7
4874,1053LN,8
4875,1053LP,8
4876,1053LR,5
4877,1053LS,8
4878,1053LT,8
4879,1053LV,5
4880,1053LW,5
4881,1053LX,5
4882,1053LZ,4
4883,1053MA,2
4884,1053MB,2
4885,1053MC,2
4886,1053MJ,9
4887,1053MK,9
4888,1053ML,5
4889,1053MN,2
4890,1053MP,4
4891,1053MR,5
4892,1053MS,4
4893,1053MT,2
4894,1053MV,4
4895,1053NC,5
4896,1053ND,2
4897,1053NE,5
4898,1053NG,2
4899,1053NH,9
4900,1053NJ,9
4901,1053NK,5
4902,1053NL,5
4903,1053NM,5
4904,1053NN,5
4905,1053NP,2
4906,1053NT,5
4907,1053NV,2
4908,1053NX,8
4909,1053NZ,2
4910,1053PA,5
4911,1053PC,1
4912,1053PD,5
4913,1053PG,8
4914,1053PK,8
4915,1053PL,5
4916,1053PM,2
4917,1053PN,2
4918,1053PP,2
4919,1053PR,2
4920,1053PS,2
4921,1053PT,5
4922,1053PV,2
4923,1053PW,5
4924,1053PX,5
4925,1053PZ,5
4926,1053RD,2
4927,1053RE,10
4928,1053RG,5
4929,1053RH,8
4930,1053RJ,2
4931,1053RL,4
4932,1053RM,5
4933,1053RS,11
4934,1053RV,2
4935,1053RW,5
4936,1053RX,2
4937,1053RZ,2
4938,1053SB,4
4939,1053SC,2
4940,1053SE,4
4941,1053SG,5
4942,1053SH,8
4943,1053SJ,8
4944,1053SK,2
4945,1053SL,5
4946,1053SM,5
4947,1053SN,5
4948,1053SP,5
4949,1053SR,8
4950,1053ST,5
4951,1053SV,4
4952,1053SW,7
4953,1053SX,4
4954,1053SZ,5
4955,1053TA,8
4956,1053TB,4
4957,1053TC,9
4958,1053TD,5
4959,1053TE,2
4960,1053TG,8
4961,1053TH,2
4962,1053TJ,2
4963,1053TM,2
4964,1053TN,5
4965,1053TP,8
4966,1053TR,7
4967,1053TS,5
4968,1053TT,5
4969,1053TV,5
4970,1053TW,5
4971,1053TX,8
4972,1053TZ,5
4973,1053VA,8
4974,1053VB,9
4975,1053VC,7
4976,1053VD,8
4977,1053VE,7
4978,1053VG,7
4979,1053VH,5
4980,1053VJ,7
4981,1053VK,11
4982,1053VL,9
4983,1053VM,5
4984,1053VN,9
4985,1053VT,4
4986,1053VV,1
4987,1053VW,2
4988,1053VX,8
4989,1053WB,7
4990,1053WC,10
4991,1053WD,8
4992,1053WE,5
4993,1053WG,5
4994,1053WH,5
4995,1053WJ,5
4996,1053WK,2
4997,1053WL,9
4998,1053WN,11
4999,1053WP,8
5000,1053WR,7
5001,1053WS,7
5002,1053WT,10
5003,1053WV,8
5004,1053WX,7
5005,1053WZ,4
5006,1053XA,5
5007,1053XB,7
5008,1053XC,9
5009,1053XD,1
5010,1053XE,7
5011,1053XG,2
5012,1053XH,1
5013,1053XJ,4
5014,1053XL,2
5015,1053XP,5
5016,1053XR,9
5017,1053XS,10
5018,1053XT,10
5019,1053XV,4
5020,1053XW,5
5021,1053XX,5
5022,1053XZ,5
5023,1053ZA,7
5024,1053ZB,4
5025,1053ZC,2
5026,1053ZD,10
5027,1053ZE,10
5028,1053ZG,2
5029,1053ZH,5
5030,1053ZJ,4
5031,1053ZK,8
5032,1053ZL,5
5033,1053ZM,4
5034,1053ZN,2
5035,1053ZP,2
5036,1053ZR,2
5037,1053ZS,8
5038,1053ZT,10
5039,1053ZV,5
5040,1053ZW,7
5041,1053ZX,7
5042,1053ZZ,4
5043,1054AA,10
5044,1054AB,10
5045,1054AC,2
5046,1054AD,8
5047,1054AH,10
5048,1054AJ,11
5049,1054AK,4
5050,1054AL,9
5051,1054AM,10
5052,1054AN,7
5053,1054AP,11
5054,1054AR,7
5055,1054AS,4
5056,1054AT,10
5057,1054AV,9
5058,1054AW,8
5059,1054AX,10
5060,1054AZ,8
5061,1054BA,5
5062,1054BB,8
5063,1054BC,8
5064,1054BD,9
5065,1054BE,8
5066,1054BG,5
5067,1054BH,11
5068,1054BJ,11
5069,1054BK,5
5070,1054BL,11
5071,1054BM,10
5072,1054BN,5
5073,1054BP,7
5074,1054BR,7
5075,1054BS,5
5076,1054BT,8
5077,1054BW,5
5078,1054BX,8
5079,1054BZ,8
5080,1054CA,2
5081,1054CB,5
5082,1054CC,9
5083,1054CD,10
5084,1054CE,7
5085,1054CG,5
5086,1054CJ,5
5087,1054CK,7
5088,1054CL,10
5089,1054CM,8
5090,1054CN,4
5091,1054CP,5
5092,1054CR,2
5093,1054CS,10
5094,1054CT,9
5095,1054CV,9
5096,1054CW,7
5097,1054CX,8
5098,1054CZ,8
5099,1054DA,7
5100,1054DB,8
5101,1054DC,9
5102,1054DD,8
5103,1054DE,10
5104,1054DG,5
5105,1054DH,7
5106,1054DJ,5
5107,1054DK,5
5108,1054DL,5
5109,1054DM,8
5110,1054DN,9
5111,1054DP,9
5112,1054DR,9
5113,1054DS,10
5114,1054DT,11
5115,1054DV,9
5116,1054DW,7
5117,1054DX,7
5118,1054DZ,7
5119,1054EA,7
5120,1054EB,8
5121,1054EC,10
5122,1054ED,2
5123,1054EE,5
5124,1054EG,7
5125,1054EH,8
5126,1054EJ,9
5127,1054EK,9
5128,1054EL,7
5129,1054EM,9
5130,1054EN,8
5131,1054EP,7
5132,1054ER,11
5133,1054ES,11
5134,1054ET,11
5135,1054EV,11
5136,1054EX,11
5137,1054EZ,7
5138,1054GB,11
5139,1054GC,11
5140,1054GD,8
5141,1054GE,7
5142,1054GG,8
5143,1054GH,8
5144,1054GJ,11
5145,1054GK,8
5146,1054GL,11
5147,1054GM,11
5148,1054GN,11
5149,1054GP,10
5150,1054GR,8
5151,1054GS,7
5152,1054GT,11
5153,1054GV,11
5154,1054GW,11
5155,1054GX,10
5156,1054HA,8
5157,1054HB,8
5158,1054HC,5
5159,1054HD,1
5160,1054HE,10
5161,1054HG,2
5162,1054HH,10
5163,1054HJ,10
5164,1054HK,7
5165,1054HL,5
5166,1054HN,10
5167,1054HP,9
5168,1054HR,5
5169,1054HS,7
5170,1054HT,4
5171,1054HV,8
5172,1054HW,4
5173,1054HX,10
5174,1054HZ,5
5175,1054JA,7
5176,1054JB,8
5177,1054JC,8
5178,1054JD,8
5179,1054JE,8
5180,1054JG,5
5181,1054JJ,11
5182,1054JK,11
5183,1054JL,10
5184,1054JM,5
5185,1054JN,9
5186,1054JP,8
5187,1054JR,9
5188,1054JS,7
5189,1054JT,8
5190,1054JV,7
5191,1054JW,5
5192,1054JX,9
5193,1054JZ,8
5194,1054KA,10
5195,1054KB,8
5196,1054KC,8
5197,1054KD,10
5198,1054KE,5
5199,1054KG,8
5200,1054KH,5
5201,1054KJ,5
5202,1054KK,5
5203,1054KL,8
5204,1054KM,10
5205,1054KN,10
5206,1054KP,7
5207,1054KR,8
5208,1054KS,10
5209,1054KT,9
5210,1054KV,7
5211,1054KW,8
5212,1054KX,9
5213,1054KZ,11
5214,1054LA,7
5215,1054LB,10
5216,1054LC,8
5217,1054LD,8
5218,1054LE,8
5219,1054LG,9
5220,1054LH,9
5221,1054LK,7
5222,1054LL,5
5223,1054LM,9
5224,1054LN,5
5225,1054LP,5
5226,1054LR,7
5227,1054LS,10
5228,1054LT,10
5229,1054LV,11
5230,1054LW,8
5231,1054LX,8
5232,1054LZ,9
5233,1054MA,5
5234,1054MC,9
5235,1054MD,9
5236,1054ME,7
5237,1054MG,8
5238,1054MH,7
5239,1054MJ,2
5240,1054MK,8
5241,1054ML,10
5242,1054MN,8
5243,1054MP,7
5244,1054MR,8
5245,1054MS,8
5246,1054MT,9
5247,1054MV,8
5248,1054MX,9
5249,1054NA,4
5250,1054NB,2
5251,1054NC,2
5252,1054ND,4
5253,1054NE,5
5254,1054NG,2
5255,1054NK,8
5256,1054NL,8
5257,1054NM,4
5258,1054PA,4
5259,1054PG,2
5260,1054PH,8
5261,1054PJ,8
5262,1054PL,2
5263,1054PM,2
5264,1054PN,2
5265,1054PP,2
5266,1054PR,2
5267,1054PS,2
5268,1054PV,5
5269,1054PW,4
5270,1054RA,1
5271,1054RC,11
5272,1054RH,2
5273,1054RL,2
5274,1054RM,2
5275,1054RX,11
5276,1054RZ,11
5277,1054SX,5
5278,1054SZ,8
5279,1054TA,4
5280,1054TB,7
5281,1054TC,8
5282,1054TD,8
5283,1054TE,7
5284,1054TG,5
5285,1054TH,4
5286,1054TJ,7
5287,1054TK,7
5288,1054TL,8
5289,1054TM,8
5290,1054TN,7
5291,1054TP,5
5292,1054TR,8
5293,1054TS,7
5294,1054TT,8
5295,1054TV,9
5296,1054TW,7
5297,1054TX,9
5298,1054TZ,4
5299,1054VA,9
5300,1054VB,9
