,PC6,NWIRP
162,1012SJ,40
163,1012SK,40
164,1012SN,50
165,1012SP,20
166,1012ST,20
167,1012TA,10
168,1012TC,30
169,1012TD,20
170,1012TN,20
171,1012TS,30
172,1012TV,10
173,1012TW,20
174,1012TZ,20
175,1012VG,20
176,1012VM,20
177,1012VR,20
178,1012VW,20
179,1012WG,20
180,1012XK,20
181,1012XL,20
182,1012ZD,30
183,1012ZE,40
184,1012ZG,30
185,1012ZL,30
186,1013AD,30
187,1013AG,20
188,1013AL,20
189,1013AS,0
190,1013AT,30
191,1013AV,10
192,1013AW,10
193,1013AX,20
194,1013BH,20
195,1013BP,60
196,1013BR,40
197,1013BV,10
198,1013BX,20
199,1013BZ,20
200,1013CC,20
201,1013CD,30
202,1013CG,40
203,1013CH,40
204,1013CJ,30
205,1013CK,30
206,1013CL,20
207,1013CM,40
208,1013CS,20
209,1013DA,10
210,1013DB,40
211,1013DC,50
212,1013DD,60
213,1013DG,50
214,1013DH,20
215,1013DJ,30
216,1013DK,20
217,1013DM,20
218,1013DR,60
219,1013DS,40
220,1013DT,50
221,1013DV,10
222,1013DW,50
223,1013DX,50
224,1013DZ,50
225,1013EC,10
226,1013EG,10
227,1013EL,20
228,1013EM,10
229,1013ES,10
230,1013GC,20
231,1013GH,20
232,1013GL,20
233,1013GM,20
234,1013GN,20
235,1013HA,10
236,1013HE,10
237,1013HG,20
238,1013HL,30
239,1013HP,20
240,1013HS,10
241,1013HT,40
242,1013HV,10
243,1013HW,20
244,1013HX,20
245,1013JG,20
246,1013JH,20
247,1013JJ,20
248,1013JK,20
249,1013JL,30
250,1013JM,10
251,1013JP,20
252,1013JR,10
253,1013JV,20
254,1013JW,20
255,1013KB,20
256,1013KL,40
257,1013KN,20
258,1013KP,20
259,1013KS,20
260,1013KW,10
261,1013KX,10
262,1013LA,20
263,1013LB,30
264,1013LC,20
265,1013LD,10
266,1013LE,20
267,1013LH,10
268,1013LL,10
269,1013LM,10
270,1013LP,10
271,1013LT,10
272,1013LV,0
273,1013MB,30
274,1013MD,10
275,1013MG,20
276,1013MH,20
277,1013MK,20
278,1013ML,20
279,1013MP,30
280,1013MT,30
281,1013MV,20
282,1013MX,30
283,1013MZ,20
284,1013NC,40
285,1013ND,20
286,1013NE,30
287,1013NG,30
288,1013NH,40
289,1013NJ,30
290,1013NK,50
291,1013NL,40
292,1013NM,20
293,1013NN,10
294,1013NS,50
295,1013NT,30
296,1013NV,40
297,1013PA,20
298,1013PD,30
299,1013PH,20
300,1013PJ,60
301,1013PK,30
302,1013PL,50
303,1013PM,40
304,1013PP,50
305,1013PR,30
306,1013PS,30
307,1013PV,60
308,1013PW,40
309,1013PX,60
310,1013RA,50
311,1013RB,30
312,1013RC,20
313,1013RD,40
314,1013RE,30
315,1013RG,50
316,1013RH,40
317,1013RJ,40
318,1013RK,10
319,1013RM,70
320,1013RN,50
321,1013RP,50
322,1013RR,20
323,1013RW,20
324,1013RZ,20
325,1013SB,20
326,1013SC,20
327,1013SE,50
328,1013SG,20
329,1013SH,40
330,1013SJ,30
331,1013SK,60
332,1013SL,30
333,1013SM,40
334,1013SN,30
335,1013SP,10
336,1013SR,10
337,1013ST,20
338,1013SV,20
339,1013SW,30
340,1013SX,40
341,1013SZ,40
342,1013TA,10
343,1013TB,20
344,1013TC,30
345,1013TD,10
346,1013TG,20
347,1013TH,30
348,1013TJ,40
349,1013TK,50
350,1013TL,10
351,1013TM,20
352,1013TN,20
353,1013TP,30
354,1013VB,40
355,1013VD,50
356,1013VG,50
357,1013VH,40
358,1013VJ,50
359,1013VL,40
360,1013VM,20
361,1013VP,30
362,1013VS,50
363,1013VT,50
364,1013VV,30
365,1013VW,10
366,1013WB,30
367,1013WC,50
368,1013WD,50
369,1013WG,20
370,1013WH,20
371,1013WJ,10
372,1013WN,10
373,1013WP,80
374,1013WR,50
375,1013WS,60
376,1013WT,40
377,1013WV,40
378,1013XA,70
379,1013XB,60
380,1013XC,50
381,1013XD,40
382,1013XE,20
383,1013XG,20
384,1013XS,40
385,1013XT,30
386,1013XV,20
387,1013XW,10
388,1013XX,20
389,1013XZ,30
390,1013ZA,40
391,1013ZB,30
392,1013ZC,50
393,1013ZD,60
394,1013ZE,50
395,1013ZG,20
396,1013ZH,50
397,1013ZJ,50
398,1013ZK,50
399,1013ZM,20
400,1013ZN,10
401,1013ZP,20
402,1013ZR,40
403,1013ZS,20
404,1013ZT,10
405,1013ZV,40
406,1013ZW,40
407,1013ZX,40
408,1014AD,10
409,1014AG,10
410,1014AT,60
411,1014BG,10
412,1015AA,20
413,1015AB,10
414,1015AC,10
415,1015AD,10
416,1015AG,10
417,1015AH,20
418,1015AK,10
419,1015BB,30
420,1015BD,10
421,1015BK,10
422,1015BR,20
423,1015BS,10
424,1015BV,30
